2020-09-16 04:47:19,267 INFO    MainThread:2900 [wandb_init.py:_log_setup():307] Logging user logs to wandb/run-20200916_044719-8xlc1rz7/logs/debug.log
2020-09-16 04:47:19,273 INFO    MainThread:2900 [wandb_init.py:_log_setup():308] Logging internal logs to wandb/run-20200916_044719-8xlc1rz7/logs/debug-internal.log
2020-09-16 04:47:19,275 INFO    MainThread:2900 [wandb_setup.py:_flush():68] setting env: {}
2020-09-16 04:47:19,275 INFO    MainThread:2900 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-09-16 04:47:19,276 WARNING MainThread:2900 [wandb_setup.py:_flush():68] Ignoring settings passed to wandb.setup() which has already been configured.
2020-09-16 04:47:19,276 INFO    MainThread:2900 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa01da8b610>
2020-09-16 04:47:19,455 WARNING MainThread:2900 [wandb_setup.py:__init__():214] Ignoring settings passed to wandb.setup() which has already been configured.
2020-09-16 04:47:23,629 INFO    MainThread:2900 [wandb_run.py:_console_start():1103] atexit reg
2020-09-16 04:47:23,630 INFO    MainThread:2900 [wandb_run.py:_redirect():978] redirect: SettingsConsole.WRAP
2020-09-16 04:47:23,631 INFO    MainThread:2900 [wandb_run.py:_redirect():1009] Wrapping output streams.
2020-09-16 04:47:23,631 INFO    MainThread:2900 [wandb_run.py:_redirect():1025] Redirects installed.
2020-09-16 04:47:26,035 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set batch_size = 16 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,036 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb batch_size 16 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16}
2020-09-16 04:47:26,036 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set test_batch_size = 16 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,037 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb test_batch_size 16 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16}
2020-09-16 04:47:26,037 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set epochs = 20 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,038 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb epochs 20 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20}
2020-09-16 04:47:26,038 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set lr = 0.005 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,039 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb lr 0.005 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005}
2020-09-16 04:47:26,039 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set momentum = 0.8 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,040 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb momentum 0.8 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8}
2020-09-16 04:47:26,041 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set no_cuda = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,048 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb no_cuda False {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False}
2020-09-16 04:47:26,049 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set seed = 42 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
2020-09-16 04:47:26,050 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb seed 42 {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42}
2020-09-16 04:47:26,050 INFO    MainThread:2900 [wandb_config.py:__setitem__():58] config set log_interval = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fa01acfb3d0>>
